,,Brian,,,,Amy,,,
msg length,speed char count,invexc,parens,gte,,invexc,parens,gte,
20,0,1.436667,1.436667,1.436667,,1.4105,1.4105,1.4105,
,10,19.147667,14.158333,14.968167,,16.64,13.035,13.1135,
,20,39.235833,28.133833,31.425333,,33.802333,25.573833,26.070167,
,30,58.305333,42.814667,44.878333,,51.3305,43.598333,38.112667,
,40,79.177167,53.995,61.1265,,72.176333,58.122333,53.577167,
,50,100.284,70.687333,74.5535,,107.180333,92.107667,65.332167,
,60,117.969,84.871833,90.827667,,127.085667,108.878333,78.289,
,70,136.333,102.791833,104.254667,,147.618,124.316667,90.279167,
,80,160.888167,126.1975,120.502833,,159.0595,139.049833,105.822,
,90,181.681667,150.987667,133.955833,,181.812167,154.697167,117.577167,
,100,201.5085,168.803167,150.204,,209.084,168.751,130.533833,
40,0,2.612167,2.612167,2.612167,,2.769,2.769,2.769,
,10,20.532167,15.751833,16.483167,,17.841667,14.106,14.262833,
,20,41.142833,30.171333,32.914167,,34.8995,26.3575,27.245667,
,30,60.525667,44.852167,46.262833,,53.106833,45.270167,39.1575,
,40,81.1885,56.6335,62.6155,,75.180333,59.8465,54.778667,
,50,102.008167,73.639167,75.938,,109.374667,94.093,66.481667,
,60,119.3795,87.875833,92.316667,,127.660333,110.915833,79.647333,
,70,138.422833,105.900333,105.639167,,145.580333,126.1975,92.0555,
,80,163.030167,129.436667,121.991833,,166.034167,141.505333,106.684,
,90,183.849833,152.4505,135.340333,,190.302,159.085667,118.386833,
,100,204.460333,172.643167,151.693,,212.976333,170.893,131.552667,
60,0,4.049,4.049,4.049,,3.813833,3.813833,3.813833,
,10,21.551,17.319167,18.129,,19.121667,15.516667,15.9085,
,20,42.7885,31.425333,33.724,,37.146,28.943667,28.551833,
,30,62.746,45.897167,47.412167,,53.472667,45.714167,43.572167,
,40,82.390167,57.573833,63.399167,,77.322333,61.413833,55.875833,
,50,102.9485,74.971333,77.1135,,110.576333,95.791,67.9705,
,60,121.312667,88.32,93.100333,,127.555833,112.352667,80.509333,
,70,139.52,105.978667,106.814667,,147.3305,127.2685,95.608167,
,80,164.075,129.645667,122.801667,,163.134667,142.706833,108.434167,
,90,184.502833,155.036667,136.515833,,191.582,161.358333,120.502833,
,100,207.229333,173.531333,152.502833,,218.697167,173.740333,133.041667,
80,0,5.302833,5.302833,5.302833,,4.832667,4.832667,4.832667,
,10,23.1445,18.2595,19.0955,,19.9575,16.352667,16.692167,
,20,44.199167,33.071,34.847333,,38.0865,30.275833,29.596667,
,30,64.391833,48.222,48.9795,,55.196667,47.6995,44.355833,
,40,84.48,60.212167,64.391833,,78.3935,62.380333,57.312667,
,50,104.150167,76.251333,78.524,,112.091333,96.888167,69.4335,
,60,121.6,90.592667,93.936333,,133.172167,113.946,81.998333,
,70,143.934667,108.199167,108.0685,,149.6555,128.731333,96.888167,
,80,166.164833,134.269333,123.480833,,165.093833,142.8375,109.714167,
,90,185.155833,157.413833,137.639167,,186.122333,162.925667,121.835,
,100,207.960833,176.822833,153.025333,,205.7665,176.5355,134.373833,
100,0,6.0865,6.0865,6.0865,,5.799167,5.799167,5.799167,
,10,24.816333,19.565667,20.689,,21.263667,17.423667,17.737167,
,20,45.844833,35.030167,36.493,,39.026833,31.6865,30.72,
,30,65.227667,49.893833,50.311833,,57.182,48.9795,46.132167,
,40,86.047333,61.44,66.168167,,79.0465,63.007333,57.991833,
,50,105.142833,78.1845,80.013,,113.684833,98.351,70.0865,
,60,122.932167,92.630167,95.869333,,129.3845,115.591833,82.155,
,70,144.457167,110.942,109.688167,,153.835,129.515,97.880833,
,80,167.5755,134.269333,125.5705,,167.9935,147.853,110.236667,
,90,185.391,157.5445,139.389333,,187.376333,165.093833,122.3575,
,100,208.143667,177.841667,155.245667,,218.1485,175.9085,134.4,
120,0,7.5755,7.5755,7.5755,,6.870167,6.870167,6.870167,
,10,26.200833,20.427667,22.178,,22.413,18.494667,18.808167,
,20,47.36,36.493,37.381167,,40.411333,32.626833,31.4775,
,30,66.4555,51.461167,51.278333,,58.5665,50.364,46.289,
,40,87.092167,63.138,67.082333,,81.266833,64.470167,58.906,
,50,106.919167,80.248167,80.9795,,114.8865,99.082333,71.105333,
,60,124.342833,94.014667,96.783667,,131.213,117.133,83.017167,
,70,146.938667,111.647333,110.654667,,154.200833,131.709333,98.847333,
,80,169.351833,135.000833,126.458667,,167.862833,149.0285,111.151,
,90,187.298,158.589333,140.355833,,188.9175,165.799167,123.350167,
,100,210.8865,180.1665,156.16,,216.685667,182.491333,135.262,
140,0,9.404,9.404,9.404,,8.594167,8.594167,8.594167,
,10,26.958333,22.334667,22.778667,,23.849833,20.271,20.062,
,20,46.994167,36.1535,39.183667,,41.351833,32.783667,33.515,
,30,66.220333,50.703667,52.6105,,58.88,50.0505,45.191833,
,40,86.857167,62.458667,68.884833,,80.143667,65.671833,60.995833,
,50,108.225333,74.866833,82.311833,,114.912667,99.866,72.751,
,60,126.040833,93.962333,98.56,,132.284,117.106833,85.707667,
,70,144.222,110.524,112.013,,147.2,130.742833,97.698,
,80,167.967333,135.549333,128.261167,,177.946,146.991,113.240833,
,90,189.204833,158.693833,141.688167,,191.869333,167.053,124.995833,
,100,210.285667,176.666,157.936333,,223.190167,175.0465,137.952667,